CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude,Day
19060933,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2300 COLLEGE AV,2019-10-26 00:00:00,37.868957,-122.254552,Saturday
19091448,THEFT FELONY (OVER $950),LARCENY,1200 BONITA AVE,2019-07-20 21:30:00,37.885385,-122.273547,Saturday
19047614,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2600 SHASTA RD,2019-08-24 13:00:00,37.883529,-122.259884,Saturday
19070847,ROBBERY,ROBBERY,STUART STREET & HILLEGASS AV,2019-12-14 19:35:00,37.859854,-122.255807,Saturday
19035378,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1900 EL DORADO AV,2019-06-29 05:17:00,37.887199,-122.275869,Saturday
19069398,BURGLARY AUTO,BURGLARY - VEHICLE,1000 GILMAN ST,2019-12-07 17:30:00,37.88014,-122.297498,Saturday
19064364,THEFT MISD. (UNDER $950),LARCENY,1300 DWIGHT WY,2019-11-02 03:00:00,37.861627,-122.285466,Saturday
19091902,BURGLARY AUTO,BURGLARY - VEHICLE,2000 ALLSTON WY,2019-09-07 09:00:00,37.869105,-122.270064,Saturday
19068497,THEFT MISD. (UNDER $950),LARCENY,2300 PIEDMONT AV,2019-11-09 00:00:00,37.869839,-122.252365,Saturday
19058291,BURGLARY AUTO,BURGLARY - VEHICLE,100 UNIVERSITY AV,2019-10-12 17:00:00,37.86331,-122.316113,Saturday
19092068,VANDALISM,VANDALISM,1900 ACTON ST,2019-09-28 11:50:00,37.871225,-122.284447,Saturday
19092062,BURGLARY AUTO,BURGLARY - VEHICLE,SPINNAKER WAY,2019-09-28 07:25:00,,,Saturday
19092475,BURGLARY AUTO,BURGLARY - VEHICLE,1900 GRANT ST,2019-11-09 19:00:00,37.873017,-122.275481,Saturday
19065317,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,3200 COLLEGE AV,2019-11-16 16:33:00,37.851038,-122.252448,Saturday
19049300,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1600 MARTIN LUTHER KING JR WY,2019-08-31 22:00:00,37.877696,-122.273684,Saturday
19062507,NARCOTICS,DRUG VIOLATION,2000 CENTER ST,2019-11-02 22:22:00,37.869973,-122.270557,Saturday
19091390,BURGLARY AUTO,BURGLARY - VEHICLE,800 POTTER ST,2019-07-13 16:30:00,37.850798,-122.294689,Saturday
19049636,VEHICLE STOLEN,MOTOR VEHICLE THEFT,10TH STREET & HEARST AV,2019-08-31 11:00:00,37.870213,-122.293749,Saturday
19091769,BURGLARY AUTO,BURGLARY - VEHICLE,2900 NEWBURY ST,2019-08-24 02:30:00,37.856614,-122.267596,Saturday
19092077,THEFT MISD. (UNDER $950),LARCENY,2200 CHANNING WAY,2019-08-10 14:00:00,37.866037,-122.265618,Saturday
19038196,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,3100 ETON AV,2019-07-13 21:40:00,37.854012,-122.251243,Saturday
19045435,FRAUD/FORGERY,FRAUD,2300 SHATTUCK AV,2019-08-10 00:00:00,37.867176,-122.267802,Saturday
19047269,NARCOTICS,DRUG VIOLATION,1900 SHATTUCK AV,2019-08-24 15:22:00,37.873687,-122.268616,Saturday
19092287,THEFT MISD. (UNDER $950),LARCENY,2000 ALLSTON WY,2019-09-21 09:00:00,37.869105,-122.270064,Saturday
19035559,DISTURBANCE,DISORDERLY CONDUCT,1700 SHATTUCK AV,2019-06-29 23:30:00,37.876307,-122.268923,Saturday
19053365,THEFT MISD. (UNDER $950),LARCENY,1900 ASHBY AV,2019-09-21 00:00:00,37.854286,-122.271015,Saturday
19063838,SEXUAL ASSAULT MISD.,SEX CRIME,COLLEGE AVENUE &WEBSTER ST,2019-11-09 15:00:00,,,Saturday
19045712,BURGLARY AUTO,BURGLARY - VEHICLE,2600 SHATTUCK AV,2019-08-17 18:18:00,37.861677,-122.26716,Saturday
19091900,THEFT MISD. (UNDER $950),LARCENY,1800 BONITA AV,2019-09-07 08:35:00,37.874351,-122.272197,Saturday
19091507,THEFT FELONY (OVER $950),LARCENY,2400 BANCROFT WY,2019-07-27 13:00:00,37.868447,-122.261268,Saturday
19062458,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1400 SIXTH ST,2019-11-02 18:35:00,37.877417,-122.300713,Saturday
